name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
양의지,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76232.jpg,0.337,0.310,0.356,0.386,0.333,0.395,0.357,0.333,0.375
안현민,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52001.jpg,0.334,0.315,0.375,0.343,0.667,0.263,0.625,0.111,0.333
김성윤,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67449.jpg,0.331,0.331,0.250,0.400,0.667,0.300,0.538,0.375,0.222
레이예스,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54529.jpg,0.326,0.309,0.304,0.347,0.400,0.377,0.368,0.200,0.571
문현빈,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53764.jpg,0.320,0.297,0.388,0.222,0.409,0.323,0.389,0.250,0.455
구자욱,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62404.jpg,0.319,0.302,0.314,0.262,0.385,0.439,0.304,0.000,0.545
송성문,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65357.jpg,0.315,0.297,0.311,0.276,0.462,0.347,0.556,0.667,0.222
디아즈,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54400.jpg,0.314,0.290,0.308,0.240,0.462,0.393,0.478,0.385,0.250
신민재,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65207.jpg,0.313,0.271,0.308,0.341,0.529,0.375,0.364,0.364,0.563
오스틴,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53123.jpg,0.313,0.306,0.354,0.265,0.286,0.233,0.429,0.200,0.500
최형우,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/72443.jpg,0.307,0.286,0.371,0.200,0.333,0.271,0.625,0.375,0.385
문성주,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68119.jpg,0.305,0.263,0.394,0.250,0.316,0.351,0.278,0.400,0.429
박민우,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62907.jpg,0.302,0.228,0.324,0.500,0.385,0.464,0.375,0.333,0.300
케이브,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55208.jpg,0.299,0.290,0.311,0.319,0.167,0.292,0.278,0.571,0.333
김현수,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76290.jpg,0.298,0.282,0.261,0.438,0.235,0.359,0.286,0.267,0.600
전준우,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78513.jpg,0.293,0.251,0.291,0.277,0.875,0.267,0.520,0.167,0.333
김주원,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51907.jpg,0.289,0.279,0.306,0.250,0.286,0.400,0.556,0.083,0.333
채은성,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79192.jpg,0.288,0.249,0.341,0.294,0.333,0.381,0.267,0.154,0.538
박찬호,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64646.jpg,0.287,0.279,0.307,0.293,0.333,0.280,0.333,0.300,0.222
최지훈,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50854.jpg,0.284,0.289,0.270,0.308,0.250,0.296,0.278,0.100,0.364
허경민,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79240.jpg,0.283,0.268,0.315,0.100,0.273,0.345,0.471,0.333,0.000
류지혁,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62234.jpg,0.280,0.262,0.394,0.167,0.143,0.222,0.308,0.500,0.278
고명준,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51868.jpg,0.278,0.302,0.270,0.182,0.333,0.298,0.211,0.286,0.150
박해민,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62415.jpg,0.276,0.314,0.215,0.167,0.167,0.278,0.364,0.200,0.200
문보경,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69102.jpg,0.276,0.277,0.276,0.233,0.286,0.327,0.267,0.083,0.333
최주환,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76267.jpg,0.275,0.264,0.280,0.273,0.222,0.344,0.375,0.111,0.294
박성한,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67893.jpg,0.274,0.282,0.247,0.286,0.364,0.200,0.263,0.200,0.429
한유섬,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62895.jpg,0.273,0.256,0.289,0.243,0.167,0.302,0.364,0.250,0.417
고승민,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69517.jpg,0.271,0.253,0.363,0.318,0.176,0.114,0.714,0.182,0.211
강민호,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/74540.jpg,0.269,0.230,0.288,0.346,0.500,0.349,0.333,0.333,0.154
오선우,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69636.jpg,0.265,0.263,0.304,0.250,0.182,0.205,0.455,0.000,0.308
노시환,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69737.jpg,0.260,0.260,0.225,0.292,0.214,0.357,0.300,0.273,0.100
정수빈,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79231.jpg,0.258,0.259,0.319,0.152,0.267,0.167,0.375,0.455,0.000
이재현,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52415.jpg,0.254,0.257,0.236,0.150,0.385,0.267,0.231,0.500,0.333
오지환,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79109.jpg,0.253,0.229,0.272,0.391,0.200,0.158,0.417,0.143,0.444
박동원,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79365.jpg,0.253,0.241,0.310,0.342,0.333,0.190,0.200,0.167,0.118
김휘집,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51344.jpg,0.249,0.254,0.244,0.280,0.154,0.182,0.231,0.364,0.273
김영웅,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52430.jpg,0.249,0.209,0.333,0.310,0.308,0.211,0.316,0.100,0.333
장성우,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78548.jpg,0.247,0.250,0.309,0.161,0.250,0.227,0.111,0.167,0.250
권희동,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63963.jpg,0.246,0.264,0.185,0.250,0.231,0.174,0.286,0.333,0.333
최원준,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66606.jpg,0.242,0.237,0.280,0.355,0.364,0.214,0.091,0.077,0.000
이주형,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50167.jpg,0.240,0.243,0.209,0.250,0.500,0.211,0.231,0.000,0.333
위즈덤,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55645.jpg,0.236,0.259,0.224,0.111,0.429,0.175,0.100,0.125,0.474
